Id,SalePrice
1461,124362.33
1462,151459.75
1463,173706.74
1464,180095.9
1465,197355.05
1466,186551.12
1467,168414.63
1468,179387.34
1469,182906.81
1470,111033.5
1471,198214.36
1472,90827.0
1473,89261.0
1474,148914.0
1475,145350.04
1476,416333.14
1477,251967.91
1478,320420.25
1479,252145.41
1480,445954.04
1481,323202.41
1482,221198.28
1483,170948.36
1484,163506.08
1485,169638.82
1486,209567.75
1487,345265.13
1488,258664.66
1489,217516.04
1490,190502.4
1491,197977.51
1492,105212.98
1493,192199.85
1494,277269.31
1495,271128.41
1496,212157.0
1497,168013.46
1498,148422.36
1499,149400.09
1500,153302.36
1501,172109.9
1502,153057.25
1503,294053.28
1504,227294.64
1505,215886.16
1506,167507.55
1507,205267.19
1508,191021.86
1509,157102.0
1510,137504.5
1511,130974.25
1512,149195.44
1513,146856.0
1514,144422.04
1515,170298.97
1516,140276.32
1517,146458.75
1518,119229.54
1519,224527.34
1520,122317.87
1521,129095.0
1522,163605.0
1523,118119.66
1524,119714.08
1525,116990.24
1526,122619.36
1527,98659.59
1528,132715.41
1529,131710.12
1530,167387.75
1531,139736.0
1532,108108.26
1533,125395.55
1534,126031.06
1535,156392.72
1536,112775.99
1537,69142.11
1538,186803.14
1539,241371.75
1540,110106.93
1541,144053.92
1542,136202.47
1543,222681.95
1544,80599.0
1545,99325.54
1546,127804.5
1547,139151.0
1548,136337.41
1549,100132.25
1550,135340.76
1551,108289.64
1552,142925.35
1553,160547.44
1554,116827.28
1555,161018.07
1556,100698.0
1557,112745.11
1558,92563.36
1559,110129.87
1560,147532.5
1561,125624.91
1562,125361.0
1563,116911.0
1564,145570.72
1565,154827.19
1566,214654.65
1567,74543.11
1568,203473.4
1569,138243.4
1570,136995.55
1571,143946.4
1572,140772.0
1573,235132.52
1574,106324.0
1575,202561.22
1576,200454.0
1577,212933.0
1578,145555.0
1579,136363.0
1580,194096.35
1581,139673.02
1582,120317.0
1583,315887.66
1584,247041.9
1585,136972.5
1586,75252.33
1587,119575.61
1588,141844.12
1589,103699.87
1590,131088.0
1591,114131.32
1592,122237.48
1593,114950.5
1594,157483.56
1595,133319.66
1596,230080.84
1597,158085.35
1598,197502.12
1599,189113.12
1600,187391.19
1601,61690.22
1602,104976.5
1603,96265.11
1604,262225.1
1605,242097.27
1606,168641.5
1607,172476.5
1608,210171.67
1609,205734.26
1610,161320.75
1611,144293.75
1612,158235.11
1613,163117.67
1614,118052.6
1615,85938.0
1616,84121.0
1617,85532.0
1618,126434.0
1619,122886.75
1620,168287.3
1621,128524.66
1622,142396.94
1623,233988.83
1624,185905.5
1625,127785.16
1626,173972.5
1627,181010.9
1628,265898.09
1629,185623.02
1630,327437.66
1631,237175.89
1632,262094.43
1633,165346.58
1634,184276.9
1635,174894.58
1636,161239.24
1637,184758.3
1638,228955.46
1639,193965.78
1640,270529.11
1641,186802.0
1642,216937.5
1643,235150.12
1644,231628.43
1645,172664.87
1646,144721.25
1647,163244.25
1648,130165.07
1649,133638.18
1650,115745.0
1651,121449.08
1652,90994.0
1653,96747.0
1654,154281.5
1655,151561.89
1656,154070.5
1657,155500.0
1658,150399.5
1659,137844.52
1660,133561.75
1661,439448.8
1662,424332.07
1663,371953.41
1664,447128.95
1665,323672.26
1666,281239.05
1667,360413.97
1668,330869.67
1669,295357.0
1670,334196.58
1671,253087.06
1672,461984.26
1673,306082.02
1674,262972.37
1675,183241.88
1676,186114.35
1677,215748.07
1678,435801.26
1679,336152.54
1680,347344.34
1681,296012.81
1682,270043.27
1683,180069.43
1684,168677.46
1685,172607.08
1686,171589.24
1687,165720.31
1688,193472.89
1689,191969.03
1690,179820.06
1691,171041.64
1692,246472.72
1693,164212.43
1694,182256.32
1695,170128.12
1696,279927.97
1697,169870.62
1698,329249.09
1699,310845.42
1700,246158.31
1701,259023.58
1702,277161.71
1703,278538.74
1704,274770.95
1705,280985.52
1706,438868.2
1707,219742.0
1708,222746.44
1709,290549.35
1710,232681.5
1711,239659.56
1712,266925.16
1713,238864.22
1714,221170.18
1715,189386.3
1716,197930.53
1717,168554.5
1718,154577.43
1719,212046.66
1720,255069.33
1721,173771.36
1722,129621.5
1723,129898.12
1724,219488.07
1725,241762.2
1726,192545.25
1727,169564.65
1728,183632.23
1729,165590.36
1730,173792.03
1731,122894.33
1732,118354.49
1733,117545.74
1734,127070.02
1735,128011.0
1736,116906.24
1737,322493.85
1738,211111.43
1739,301242.93
1740,183490.57
1741,182500.45
1742,172048.39
1743,172560.67
1744,308242.16
1745,237711.78
1746,295170.59
1747,240599.26
1748,219975.19
1749,151705.74
